Group,Metric,Score
recommendation_quality,NDCG@5,0.375
recommendation_quality,Recall@5,0.5
recommendation_quality,NDCG@10,0.375
recommendation_quality,Recall@10,0.5
recommendation_quality,NDCG@20,0.40625
recommendation_quality,Recall@20,0.625
search_fidelity,NDCG@5,0.5666397600944565
search_fidelity,Recall@5,0.7804878048780488
search_fidelity,NDCG@10,0.6321687419377494
search_fidelity,Recall@10,0.975609756097561
search_fidelity,NDCG@20,0.6321687419377494
search_fidelity,Recall@20,0.975609756097561
